external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL2-C5-PF-Q005	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K055	LTL2-C5-F055	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to describe future success and work backward through milestones?	Weighted pros and cons	Headlines of the Future	Multi-voting	Cost-benefit analysis	B	Headlines of the Future is used to describe future success and work backward through milestones.	1	The purpose of Headlines of the Future is to describe future success and work backward through milestones.	Weighted pros and cons is used to assign point values to advantages and disadvantages, not to describe future success and work backward through milestones.	The purpose of Headlines of the Future is to describe future success and work backward through milestones.	Multi-voting is used to identify broad consensus when many options exist, not to describe future success and work backward through milestones.	Cost-benefit analysis is used to compare costs with expected benefits, not to describe future success and work backward through milestones.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Headlines of the Future: describe future success and work backward through milestones.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q005	Create a simple instructional visual for this idea: Headlines of the Future is used to describe future success and work backward through milestones.	Headlines of the Future: describe future success and work backward through milestones.	Instructional visual representing: Headlines of the Future is used to describe future success and work backward through milestones.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q006	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K056	LTL2-C5-F056	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to make the steps of a process visible so it can be improved?	Flowchart	Cost-benefit analysis	Weighted pros and cons	Gradual voting	A	Flowchart is used to make the steps of a process visible so it can be improved.	1	The purpose of Flowchart is to make the steps of a process visible so it can be improved.	The purpose of Flowchart is to make the steps of a process visible so it can be improved.	Cost-benefit analysis is used to compare costs with expected benefits, not to make the steps of a process visible so it can be improved.	Weighted pros and cons is used to assign point values to advantages and disadvantages, not to make the steps of a process visible so it can be improved.	Gradual voting is used to let junior members speak before senior members to reduce influence, not to make the steps of a process visible so it can be improved.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Flowchart: make the steps of a process visible so it can be improved.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q006	Create a simple instructional visual for this idea: Flowchart is used to make the steps of a process visible so it can be improved.	Flowchart: make the steps of a process visible so it can be improved.	Instructional visual representing: Flowchart is used to make the steps of a process visible so it can be improved.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q007	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K057	LTL2-C5-F057	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to identify broad consensus when many options exist?	Weighted pros and cons	Gradual voting	Brainstorming	Multi-voting	D	Multi-voting is used to identify broad consensus when many options exist.	1	The purpose of Multi-voting is to identify broad consensus when many options exist.	Weighted pros and cons is used to assign point values to advantages and disadvantages, not to identify broad consensus when many options exist.	Gradual voting is used to let junior members speak before senior members to reduce influence, not to identify broad consensus when many options exist.	Brainstorming is used to generate many ideas without judging them during generation, not to identify broad consensus when many options exist.	The purpose of Multi-voting is to identify broad consensus when many options exist.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Multi-voting: identify broad consensus when many options exist.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q007	Create a simple instructional visual for this idea: Multi-voting is used to identify broad consensus when many options exist.	Multi-voting: identify broad consensus when many options exist.	Instructional visual representing: Multi-voting is used to identify broad consensus when many options exist.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q008	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K058	LTL2-C5-F058	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to compare costs with expected benefits?	Brainstorming	Mindmapping	Cost-benefit analysis	Gradual voting	C	Cost-benefit analysis is used to compare costs with expected benefits.	1	The purpose of Cost-benefit analysis is to compare costs with expected benefits.	Brainstorming is used to generate many ideas without judging them during generation, not to compare costs with expected benefits.	Mindmapping is used to visually arrange ideas and their connections, not to compare costs with expected benefits.	The purpose of Cost-benefit analysis is to compare costs with expected benefits.	Gradual voting is used to let junior members speak before senior members to reduce influence, not to compare costs with expected benefits.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Cost-benefit analysis: compare costs with expected benefits.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q008	Create a simple instructional visual for this idea: Cost-benefit analysis is used to compare costs with expected benefits.	Cost-benefit analysis: compare costs with expected benefits.	Instructional visual representing: Cost-benefit analysis is used to compare costs with expected benefits.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q009	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K059	LTL2-C5-F059	medium	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to assign point values to advantages and disadvantages?	Five Whys	Weighted pros and cons	Brainstorming	Mindmapping	B	Weighted pros and cons is used to assign point values to advantages and disadvantages.	1	The purpose of Weighted pros and cons is to assign point values to advantages and disadvantages.	Five Whys is used to drill down repeatedly to identify root causes, not to assign point values to advantages and disadvantages.	The purpose of Weighted pros and cons is to assign point values to advantages and disadvantages.	Brainstorming is used to generate many ideas without judging them during generation, not to assign point values to advantages and disadvantages.	Mindmapping is used to visually arrange ideas and their connections, not to assign point values to advantages and disadvantages.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Weighted pros and cons: assign point values to advantages and disadvantages.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q009	Create a simple instructional visual for this idea: Weighted pros and cons is used to assign point values to advantages and disadvantages.	Weighted pros and cons: assign point values to advantages and disadvantages.	Instructional visual representing: Weighted pros and cons is used to assign point values to advantages and disadvantages.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PF-Q010	Chapter 5 F	LTL2-C5-O13	LTL2-C5-K060	LTL2-C5-F060	hard	recognition	multiple_choice	study_and_test	cap_direct	Which creative-thinking tool is designed to let junior members speak before senior members to reduce influence?	Gradual voting	Mindmapping	Five Whys	Reversal	A	Gradual voting is used to let junior members speak before senior members to reduce influence.	1	The purpose of Gradual voting is to let junior members speak before senior members to reduce influence.	The purpose of Gradual voting is to let junior members speak before senior members to reduce influence.	Mindmapping is used to visually arrange ideas and their connections, not to let junior members speak before senior members to reduce influence.	Five Whys is used to drill down repeatedly to identify root causes, not to let junior members speak before senior members to reduce influence.	Reversal is used to imagine how to cause or worsen the problem, then reverse the ideas, not to let junior members speak before senior members to reduce influence.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Gradual voting: let junior members speak before senior members to reduce influence.	high	process_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pf_q010	Create a simple instructional visual for this idea: Gradual voting is used to let junior members speak before senior members to reduce influence.	Gradual voting: let junior members speak before senior members to reduce influence.	Instructional visual representing: Gradual voting is used to let junior members speak before senior members to reduce influence.	Learn to Lead, Volume 2, Chapter 5, Objective 13	56-62	approved_source	draft		45
LTL2-C5-PG-Q001	Chapter 5 G	LTL2-C5-O14	LTL2-C5-K061	LTL2-C5-F061	easy	recall	multiple_choice	study_and_test	cap_direct	A learning objective describes what a student should	know, feel, or be able to do at the end of a lesson	enjoy most about an activity	already know before entering class	teach to the instructor after every lesson	A	A learning objective states the intended result of the lesson.	1	It gives the student and instructor a precise goal and a measure of success.	It gives the student and instructor a precise goal and a measure of success.	Enjoyment can support learning but is not the objective itself.	Prior knowledge may affect instruction but is not the lesson outcome.	Teaching back can be an evaluation method, but is not required by the definition.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Objective = the finish line for learning.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pg_q001	Create a simple instructional visual for this idea: A learning objective states the intended result of the lesson.	Objective = the finish line for learning.	Instructional visual representing: A learning objective states the intended result of the lesson.	Learn to Lead, Volume 2, Chapter 5, Objective 14	63	approved_source	draft		45
LTL2-C5-PG-Q002	Chapter 5 G	LTL2-C5-O14	LTL2-C5-K062	LTL2-C5-F062	medium	understanding	multiple_choice	study_and_test	close_distractors	A strong learning objective should be	interesting and flexible	specific and measurable	challenging and lengthy	creative and popular	B	Good objectives are specific and measurable.	1	They say exactly what learners should accomplish and allow fair evaluation of whether they succeeded.	Interest and flexibility can help a lesson but do not make the goal measurable.	They say exactly what learners should accomplish and allow fair evaluation of whether they succeeded.	Difficulty and length are not the defining qualities.	Creativity and popularity do not establish instructional success.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Specific tells what; measurable proves it.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pg_q002	Create a simple instructional visual for this idea: Good objectives are specific and measurable.	Specific tells what; measurable proves it.	Instructional visual representing: Good objectives are specific and measurable.	Learn to Lead, Volume 2, Chapter 5, Objective 14	63-64	approved_source	draft		45
LTL2-C5-PG-Q003	Chapter 5 G	LTL2-C5-O15	LTL2-C5-K063	LTL2-C5-F063	easy	recognition	multiple_choice	study_and_test	cap_direct	Which learning modality emphasizes seeing pictures, diagrams, demonstrations, or highlighted text?	Tactile	Kinesthetic	Visual	Experiential	C	Visual learning emphasizes seeing pictures, diagrams, demonstrations, or highlighted text.	1	A visual learner tends to prefer seeing pictures, diagrams, demonstrations, or highlighted text.	Tactile emphasizes touching, handling, labeling, or manipulating objects, not seeing pictures, diagrams, demonstrations, or highlighted text.	Kinesthetic emphasizes moving and learning through physical action, not seeing pictures, diagrams, demonstrations, or highlighted text.	A visual learner tends to prefer seeing pictures, diagrams, demonstrations, or highlighted text.	Experiential describes a broad learning method, not one of the four sensory learning modalities.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Visual: seeing pictures, diagrams, demonstrations, or highlighted text.	high	four_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pg_q003	Create a simple instructional visual for this idea: Visual learning emphasizes seeing pictures, diagrams, demonstrations, or highlighted text.	Visual: seeing pictures, diagrams, demonstrations, or highlighted text.	Instructional visual representing: Visual learning emphasizes seeing pictures, diagrams, demonstrations, or highlighted text.	Learn to Lead, Volume 2, Chapter 5, Objective 15	64-65	approved_source	draft		45
LTL2-C5-PG-Q004	Chapter 5 G	LTL2-C5-O15	LTL2-C5-K064	LTL2-C5-F064	easy	recognition	multiple_choice	study_and_test	cap_direct	Which learning modality emphasizes hearing explanations, stories, recitation, or discussion?	Visual	Auditory	Lecture	Kinesthetic	B	Auditory learning emphasizes hearing explanations, stories, recitation, or discussion.	1	A auditory learner tends to prefer hearing explanations, stories, recitation, or discussion.	Visual emphasizes seeing pictures, diagrams, demonstrations, or highlighted text, not hearing explanations, stories, recitation, or discussion.	A auditory learner tends to prefer hearing explanations, stories, recitation, or discussion.	Lecture is a teaching method, not one of the four learning modalities.	Kinesthetic emphasizes moving and learning through physical action, not hearing explanations, stories, recitation, or discussion.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Auditory: hearing explanations, stories, recitation, or discussion.	high	four_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pg_q004	Create a simple instructional visual for this idea: Auditory learning emphasizes hearing explanations, stories, recitation, or discussion.	Auditory: hearing explanations, stories, recitation, or discussion.	Instructional visual representing: Auditory learning emphasizes hearing explanations, stories, recitation, or discussion.	Learn to Lead, Volume 2, Chapter 5, Objective 15	64-65	approved_source	draft		45
LTL2-C5-PG-Q005	Chapter 5 G	LTL2-C5-O15	LTL2-C5-K065	LTL2-C5-F065	easy	recognition	multiple_choice	study_and_test	cap_direct	Which learning modality emphasizes touching, handling, labeling, or manipulating objects?	Tactile	Simulation	Visual	Auditory	A	Tactile learning emphasizes touching, handling, labeling, or manipulating objects.	1	A tactile learner tends to prefer touching, handling, labeling, or manipulating objects.	A tactile learner tends to prefer touching, handling, labeling, or manipulating objects.	Simulation is a training method, not a learning modality.	Visual emphasizes seeing pictures, diagrams, demonstrations, or highlighted text, not touching, handling, labeling, or manipulating objects.	Auditory emphasizes hearing explanations, stories, recitation, or discussion, not touching, handling, labeling, or manipulating objects.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Tactile: touching, handling, labeling, or manipulating objects.	high	four_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pg_q005	Create a simple instructional visual for this idea: Tactile learning emphasizes touching, handling, labeling, or manipulating objects.	Tactile: touching, handling, labeling, or manipulating objects.	Instructional visual representing: Tactile learning emphasizes touching, handling, labeling, or manipulating objects.	Learn to Lead, Volume 2, Chapter 5, Objective 15	64-65	approved_source	draft		45
LTL2-C5-PG-Q006	Chapter 5 G	LTL2-C5-O15	LTL2-C5-K066	LTL2-C5-F066	easy	recognition	multiple_choice	study_and_test	cap_direct	Which learning modality emphasizes moving and learning through physical action?	Kinesthetic	Auditory	Tactile	Guided Discussion	A	Kinesthetic learning emphasizes moving and learning through physical action.	1	A kinesthetic learner tends to prefer moving and learning through physical action.	A kinesthetic learner tends to prefer moving and learning through physical action.	Auditory emphasizes hearing explanations, stories, recitation, or discussion, not moving and learning through physical action.	Tactile emphasizes touching, handling, labeling, or manipulating objects, not moving and learning through physical action.	Guided discussion is a teaching method, not a learning modality.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Kinesthetic: moving and learning through physical action.	high	four_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pg_q006	Create a simple instructional visual for this idea: Kinesthetic learning emphasizes moving and learning through physical action.	Kinesthetic: moving and learning through physical action.	Instructional visual representing: Kinesthetic learning emphasizes moving and learning through physical action.	Learn to Lead, Volume 2, Chapter 5, Objective 15	64-65	approved_source	draft		45
LTL2-C5-PG-Q007	Chapter 5 G	LTL2-C5-O16	LTL2-C5-K067	LTL2-C5-F067	medium	application	multiple_choice	study_and_test	scenario	An instructor explains a radio procedure aloud, shows a diagram, lets cadets handle the radio, and has them practice moving through the procedure. Why is this effective?	It prevents the need for evaluation	It presents the material through multiple learning modalities	It makes the lesson a simulation	It guarantees every cadet has the same learning preference	B	Multiple presentations reach different learning preferences.	1	Leaders should present material in varied ways because people process information differently.	Evaluation is still needed.	Leaders should present material in varied ways because people process information differently.	The activity may include practice, but the key point is use of all four modalities.	Cadets do not all share the same preference.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Tell it, show it, touch it, do it.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pg_q007	Create a simple instructional visual for this idea: Multiple presentations reach different learning preferences.	Tell it, show it, touch it, do it.	Instructional visual representing: Multiple presentations reach different learning preferences.	Learn to Lead, Volume 2, Chapter 5, Objective 16	64-65	approved_source	draft		45
LTL2-C5-PG-Q008	Chapter 5 G	LTL2-C5-O16	LTL2-C5-K068	LTL2-C5-F068	hard	misconception	multiple_choice	study_and_test	cap_direct	Which statement best reflects the chapter's advice about learning styles?	Teach only in the style preferred by most students	Require students to adapt to the instructor's natural style	Use multiple methods whenever possible, especially with groups	Assign every student one permanent learning category	C	Good instructors present material in multiple ways.	1	Learning modalities describe preferences, and leaders serve the team by adapting communication rather than demanding that everyone adapt to them.	A majority preference can leave others behind.	The chapter criticizes this instructor-centered approach.	Learning modalities describe preferences, and leaders serve the team by adapting communication rather than demanding that everyone adapt to them.	The modalities are useful guides, not rigid permanent labels.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Adapt the lesson to learners, not learners to the lecturer.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pg_q008	Create a simple instructional visual for this idea: Good instructors present material in multiple ways.	Adapt the lesson to learners, not learners to the lecturer.	Instructional visual representing: Good instructors present material in multiple ways.	Learn to Lead, Volume 2, Chapter 5, Objective 16	65	approved_source	draft		45
LTL2-C5-PH-Q001	Chapter 5 H	LTL2-C5-O17	LTL2-C5-K071	LTL2-C5-F071	medium	recognition	multiple_choice	study_and_test	cap_direct	Which teaching method is best described as an oral presentation that can quickly provide much information?	Experiential learning	Simulation	Lecture	Demonstration-performance	C	Lecture is an oral presentation that can quickly provide much information.	1	The chapter defines lecture as an oral presentation that can quickly provide much information.	Experiential learning involves learning through games, service, challenges, role-play, or direct experience, not an oral presentation that can quickly provide much information.	Simulation involves replicating real conditions so existing knowledge and skills can be practiced, not an oral presentation that can quickly provide much information.	The chapter defines lecture as an oral presentation that can quickly provide much information.	Demonstration-performance involves the instructor demonstrates a physical skill and students practice it, not an oral presentation that can quickly provide much information.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Lecture: an oral presentation that can quickly provide much information.	high	method_comparison	optional_after_answer	ltl2_c5_ltl2_c5_ph_q001	Create a simple instructional visual for this idea: Lecture is an oral presentation that can quickly provide much information.	Lecture: an oral presentation that can quickly provide much information.	Instructional visual representing: Lecture is an oral presentation that can quickly provide much information.	Learn to Lead, Volume 2, Chapter 5, Objective 17	66-69	approved_source	draft		45
LTL2-C5-PH-Q002	Chapter 5 H	LTL2-C5-O17	LTL2-C5-K072	LTL2-C5-F072	medium	recognition	multiple_choice	study_and_test	cap_direct	Which teaching method is best described as an instructor-directed conversation in which students do much of the talking?	Lecture	Guided discussion	Experiential learning	Simulation	B	Guided discussion is an instructor-directed conversation in which students do much of the talking.	1	The chapter defines guided discussion as an instructor-directed conversation in which students do much of the talking.	Lecture involves an oral presentation that can quickly provide much information, not an instructor-directed conversation in which students do much of the talking.	The chapter defines guided discussion as an instructor-directed conversation in which students do much of the talking.	Experiential learning involves learning through games, service, challenges, role-play, or direct experience, not an instructor-directed conversation in which students do much of the talking.	Simulation involves replicating real conditions so existing knowledge and skills can be practiced, not an instructor-directed conversation in which students do much of the talking.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Guided discussion: an instructor-directed conversation in which students do much of the talking.	high	method_comparison	optional_after_answer	ltl2_c5_ltl2_c5_ph_q002	Create a simple instructional visual for this idea: Guided discussion is an instructor-directed conversation in which students do much of the talking.	Guided discussion: an instructor-directed conversation in which students do much of the talking.	Instructional visual representing: Guided discussion is an instructor-directed conversation in which students do much of the talking.	Learn to Lead, Volume 2, Chapter 5, Objective 17	66-69	approved_source	draft		45
LTL2-C5-PH-Q003	Chapter 5 H	LTL2-C5-O17	LTL2-C5-K073	LTL2-C5-F073	medium	recognition	multiple_choice	study_and_test	cap_direct	Which teaching method is best described as the instructor demonstrates a physical skill and students practice it?	Demonstration-performance	Simulation	Lecture	Guided discussion	A	Demonstration-performance is the instructor demonstrates a physical skill and students practice it.	1	The chapter defines demonstration-performance as the instructor demonstrates a physical skill and students practice it.	The chapter defines demonstration-performance as the instructor demonstrates a physical skill and students practice it.	Simulation involves replicating real conditions so existing knowledge and skills can be practiced, not the instructor demonstrates a physical skill and students practice it.	Lecture involves an oral presentation that can quickly provide much information, not the instructor demonstrates a physical skill and students practice it.	Guided discussion involves an instructor-directed conversation in which students do much of the talking, not the instructor demonstrates a physical skill and students practice it.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Demonstration-performance: the instructor demonstrates a physical skill and students practice it.	high	method_comparison	optional_after_answer	ltl2_c5_ltl2_c5_ph_q003	Create a simple instructional visual for this idea: Demonstration-performance is the instructor demonstrates a physical skill and students practice it.	Demonstration-performance: the instructor demonstrates a physical skill and students practice it.	Instructional visual representing: Demonstration-performance is the instructor demonstrates a physical skill and students practice it.	Learn to Lead, Volume 2, Chapter 5, Objective 17	66-69	approved_source	draft		45
LTL2-C5-PH-Q004	Chapter 5 H	LTL2-C5-O17	LTL2-C5-K074	LTL2-C5-F074	medium	recognition	multiple_choice	study_and_test	cap_direct	Which teaching method is best described as learning through games, service, challenges, role-play, or direct experience?	Lecture	Guided discussion	Demonstration-performance	Experiential learning	D	Experiential learning is learning through games, service, challenges, role-play, or direct experience.	1	The chapter defines experiential learning as learning through games, service, challenges, role-play, or direct experience.	Lecture involves an oral presentation that can quickly provide much information, not learning through games, service, challenges, role-play, or direct experience.	Guided discussion involves an instructor-directed conversation in which students do much of the talking, not learning through games, service, challenges, role-play, or direct experience.	Demonstration-performance involves the instructor demonstrates a physical skill and students practice it, not learning through games, service, challenges, role-play, or direct experience.	The chapter defines experiential learning as learning through games, service, challenges, role-play, or direct experience.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Experiential learning: learning through games, service, challenges, role-play, or direct experience.	high	method_comparison	optional_after_answer	ltl2_c5_ltl2_c5_ph_q004	Create a simple instructional visual for this idea: Experiential learning is learning through games, service, challenges, role-play, or direct experience.	Experiential learning: learning through games, service, challenges, role-play, or direct experience.	Instructional visual representing: Experiential learning is learning through games, service, challenges, role-play, or direct experience.	Learn to Lead, Volume 2, Chapter 5, Objective 17	66-69	approved_source	draft		45
LTL2-C5-PH-Q005	Chapter 5 H	LTL2-C5-O17	LTL2-C5-K075	LTL2-C5-F075	medium	recognition	multiple_choice	study_and_test	cap_direct	Which teaching method is best described as replicating real conditions so existing knowledge and skills can be practiced?	Demonstration-performance	Experiential learning	Simulation	Guided discussion	C	Simulation is replicating real conditions so existing knowledge and skills can be practiced.	1	The chapter defines simulation as replicating real conditions so existing knowledge and skills can be practiced.	Demonstration-performance involves the instructor demonstrates a physical skill and students practice it, not replicating real conditions so existing knowledge and skills can be practiced.	Experiential learning involves learning through games, service, challenges, role-play, or direct experience, not replicating real conditions so existing knowledge and skills can be practiced.	The chapter defines simulation as replicating real conditions so existing knowledge and skills can be practiced.	Guided discussion involves an instructor-directed conversation in which students do much of the talking, not replicating real conditions so existing knowledge and skills can be practiced.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Simulation: replicating real conditions so existing knowledge and skills can be practiced.	high	method_comparison	optional_after_answer	ltl2_c5_ltl2_c5_ph_q005	Create a simple instructional visual for this idea: Simulation is replicating real conditions so existing knowledge and skills can be practiced.	Simulation: replicating real conditions so existing knowledge and skills can be practiced.	Instructional visual representing: Simulation is replicating real conditions so existing knowledge and skills can be practiced.	Learn to Lead, Volume 2, Chapter 5, Objective 17	66-69	approved_source	draft		45
LTL2-C5-PH-Q006	Chapter 5 H	LTL2-C5-O18	LTL2-C5-K076	LTL2-C5-F076	medium	analysis	multiple_choice	study_and_test	close_distractors	Which is a major advantage of a lecture?	It gives immediate evidence that every student understands	It can efficiently present a large amount of information	It naturally involves all learning modalities	It is ideal for practicing physical skills	B	Lectures can deliver much information efficiently.	1	They are relatively easy to prepare and can use an expert's knowledge, but they provide limited feedback and are mostly one-way.	A lecture provides limited evidence of learning.	They are relatively easy to prepare and can use an expert's knowledge, but they provide limited feedback and are mostly one-way.	Lecture is primarily auditory and passive.	Demo-perf is better for physical skills.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Lecture: efficient information, weak feedback.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_ph_q006	Create a simple instructional visual for this idea: Lectures can deliver much information efficiently.	Lecture: efficient information, weak feedback.	Instructional visual representing: Lectures can deliver much information efficiently.	Learn to Lead, Volume 2, Chapter 5, Objective 18	66, 69	approved_source	draft		45
LTL2-C5-PH-Q007	Chapter 5 H	LTL2-C5-O18	LTL2-C5-K077	LTL2-C5-F077	hard	application	multiple_choice	study_and_test	scenario	Cadets already know the basics of integrity. The instructor wants them to connect the idea to personal experiences while checking their understanding. Which method best fits?	Lecture	Guided discussion	Demonstration-performance	Simulation	B	Guided discussion works well when learners have basic knowledge and can contribute.	1	It allows students to connect experience to the topic while giving the instructor immediate feedback.	A lecture would provide less student participation and feedback.	It allows students to connect experience to the topic while giving the instructor immediate feedback.	Integrity is abstract and cannot be physically demonstrated as a task.	A simulation is better for practicing existing operational skills in realistic conditions.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Known basics + student voices = guided discussion.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_ph_q007	Create a simple instructional visual for this idea: Guided discussion works well when learners have basic knowledge and can contribute.	Known basics + student voices = guided discussion.	Instructional visual representing: Guided discussion works well when learners have basic knowledge and can contribute.	Learn to Lead, Volume 2, Chapter 5, Objective 18	66-67	approved_source	draft		45
LTL2-C5-PH-Q008	Chapter 5 H	LTL2-C5-O18	LTL2-C5-K078	LTL2-C5-F078	hard	application	multiple_choice	study_and_test	close_distractors	Which method is best for teaching a cadet how to execute an about face for the first time?	Guided discussion	Demonstration-performance	Simulation	Lecture	B	Demo-perf is designed for learning a physical process by seeing and doing.	1	The instructor models the movement, breaks it into steps, observes practice, and provides immediate correction.	Discussion cannot replace physical demonstration and practice.	The instructor models the movement, breaks it into steps, observes practice, and provides immediate correction.	Simulation is generally for applying skills already learned.	A lecture alone does not provide the needed physical practice.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Skill task: show it, break it down, do it, correct it.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_ph_q008	Create a simple instructional visual for this idea: Demo-perf is designed for learning a physical process by seeing and doing.	Skill task: show it, break it down, do it, correct it.	Instructional visual representing: Demo-perf is designed for learning a physical process by seeing and doing.	Learn to Lead, Volume 2, Chapter 5, Objective 18	67, 71	approved_source	draft		45
